relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-0AA974957839D89C,traces_to,APP-SF-STABILITY,NRM-SF-STABILITY,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-647456082E3BFA21,traces_to,ASR-SF-PSE,AST-SF-PSE,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-AC7F84334CFF4CE0,traces_to,ASR-SF-RADIO,AST-SF-RADIO,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-0A8287CF14E390B0,traces_to,AST-SF-PSE,EVR-SF-AGING,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-35E8F2DC018F0404,traces_to,AST-SF-PSE,EVR-SF-INSPECTION,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-E1131F48B992A3AC,traces_to,AST-SF-PSE,EVR-SF-PSE,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-DFE3A958C21CB1C5,traces_to,AST-SF-PSE,EVR-SF-STABILITY,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-9718B991E4C2969C,traces_to,AST-SF-PSE,OBL-SF-AGING,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-272E5C7F6DAB297A,traces_to,AST-SF-PSE,OBL-SF-INSPECTION,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-770AAAE46E250D8C,traces_to,AST-SF-PSE,OBL-SF-PSE,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-82347628C8B9AD45,traces_to,AST-SF-PSE,OBL-SF-STABILITY,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-6845067261E96F69,traces_to,AST-SF-RADIO,EVR-SF-RADIO,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-0F8268AF8A181531,traces_to,AST-SF-RADIO,OBL-SF-RADIO,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-B2D0BB2D701A4689,traces_to,EPR-SF-AGING-DOC,PT-SF-AGING-DOC,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-40E3901898DCDFC1,traces_to,EPR-SF-AGING-EVIDENCE,EVR-SF-AGING,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-61485D54BA889622,traces_to,EPR-SF-INSPECTION-DOC,PT-SF-INSPECTION-DOC,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-623943982F8072E9,traces_to,EPR-SF-INSPECTION-EVIDENCE,EVR-SF-INSPECTION,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-896125B8A5B67A70,traces_to,EPR-SF-INSPECTION-PROCESS,PT-SF-INSPECTION-PROCESS,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-1AE16CE978BFA5CD,traces_to,EPR-SF-PSE-EVIDENCE,EVR-SF-PSE,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-06750FF167440764,traces_to,EPR-SF-PSE-PROCESS,PT-SF-PSE-PROCESS,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-BA786DFEF3863F2D,traces_to,EPR-SF-RADIO-ASSURANCE,PT-SF-RADIO-ASSURANCE,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-F7A5D0A725EDFC89,traces_to,EPR-SF-RADIO-EVIDENCE,EVR-SF-RADIO,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-5A2E4389E322D3CB,traces_to,EPR-SF-RADIO-SUPPLIER,PT-SF-RADIO-SUPPLIER,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-1195E7586559F21A,traces_to,EPR-SF-STABILITY-EVIDENCE,EVR-SF-STABILITY,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-DF2D731DFB7DDE93,traces_to,EPR-SF-STABILITY-PRODUCT,REQ_SF-0007,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-37649DA32441569C,traces_to,EVR-SF-AGING,OBL-SF-AGING,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-097B1B05B78C14E5,traces_to,EVR-SF-INSPECTION,OBL-SF-INSPECTION,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-287B8E9F2B318329,traces_to,EVR-SF-PSE,OBL-SF-PSE,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-B92DC535EA52ADA5,traces_to,EVR-SF-RADIO,OBL-SF-RADIO,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-3EBC5B1CE85D3129,traces_to,EVR-SF-REQ-001,REQ_SF-0001,EvidenceRequirement.target_refs,ai_context_inference,medium,active
DREL-7BE65D90D0B662FD,traces_to,EVR-SF-REQ-002,REQ_SF-0002,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-0FF25809CDCD40F9,traces_to,EVR-SF-REQ-003,REQ_SF-0003,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-5F04A294FCFF8E1D,traces_to,EVR-SF-REQ-004,REQ_SF-0004,EvidenceRequirement.target_refs,ai_context_inference,medium,active
DREL-17C2309E2B25D6FC,traces_to,EVR-SF-REQ-005,REQ_SF-0005,EvidenceRequirement.target_refs,ai_context_inference,medium,active
DREL-E5291957CFA8BCAC,traces_to,EVR-SF-REQ-006,REQ_SF-0006,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-3F92344589F8899E,traces_to,EVR-SF-STABILITY,OBL-SF-STABILITY,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-F3EC4344BB2F8BC3,traces_to,EVR-SF-STABILITY,REQ_SF-0007,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-425C61947D3F4D31,traces_to,NRM-SF-AGING,PRV-SF-AGING,NormativeStatement.provision_refs,external_candidate,low,active
DREL-6C8E3E49E18B15AE,traces_to,NRM-SF-INSPECTION,PRV-SF-PSE-8-2,NormativeStatement.provision_refs,external_candidate,medium,active
DREL-07A14738652BABF3,traces_to,NRM-SF-PSE,PRV-SF-PSE-8-1,NormativeStatement.provision_refs,external_candidate,medium,active
DREL-1C4DD0607AAAF24D,traces_to,NRM-SF-RADIO,PRV-SF-RADIO-4,NormativeStatement.provision_refs,external_candidate,low,active
DREL-2E146DAF57AAB981,traces_to,NRM-SF-STABILITY,PRV-SF-STABILITY,NormativeStatement.provision_refs,external_candidate,medium,active
DREL-A1104C5341C4B7A8,traces_to,OBL-SF-AGING,APP-SF-AGING,Obligation.applicability_refs,ai_context_inference,low,active
DREL-72A1B5E17637315B,traces_to,OBL-SF-INSPECTION,APP-SF-INSPECTION,Obligation.applicability_refs,ai_context_inference,low,active
DREL-FB8899069E7EFC48,traces_to,OBL-SF-PSE,APP-SF-PSE,Obligation.applicability_refs,ai_context_inference,low,active
DREL-D963428F54646D61,traces_to,OBL-SF-RADIO,APP-SF-RADIO,Obligation.applicability_refs,ai_context_inference,low,active
DREL-01BC6F572B7CBD72,traces_to,OBL-SF-STABILITY,APP-SF-STABILITY,Obligation.applicability_refs,ai_context_inference,low,active
DREL-7E01097A31356990,traces_to,PRV-SF-AGING,SRC-SF-PSE-INTERP,Provision.source_ref,ai_context_inference,medium,active
DREL-5EDDE24BC82C2C67,traces_to,PRV-SF-PSE-8-1,SRC-SF-PSE-ACT,Provision.source_ref,ai_context_inference,medium,active
DREL-E053769FDF438628,traces_to,PRV-SF-PSE-8-2,SRC-SF-PSE-ACT,Provision.source_ref,ai_context_inference,medium,active
DREL-4BE0D19D83D96865,traces_to,PRV-SF-RADIO-4,SRC-SF-RADIO-ACT,Provision.source_ref,ai_context_inference,medium,active
DREL-9305719180CDB037,traces_to,PRV-SF-STABILITY,SRC-SF-PSE-INTERP,Provision.source_ref,ai_context_inference,medium,active
DREL-2F23385BC1933A7C,traces_to,SRC-SF-ENERGY-LIST,AUTH-JP-METI,Source.authority_refs,ai_context_inference,medium,active
DREL-2BAEFD0FE89E6D8E,traces_to,SRC-SF-LONG-USE,AUTH-JP-METI,Source.authority_refs,ai_context_inference,medium,active
DREL-636BA48F74AC65E5,traces_to,SRC-SF-PSE-ACT,AUTH-JP-LEG,Source.authority_refs,ai_context_inference,medium,active
DREL-F6266DFEFB438377,traces_to,SRC-SF-PSE-ACT,AUTH-JP-METI,Source.authority_refs,ai_context_inference,medium,active
DREL-E6921C8CEE2105B2,traces_to,SRC-SF-PSE-INTERP,AUTH-JP-METI,Source.authority_refs,ai_context_inference,medium,active
DREL-1A184AB553387D8F,traces_to,SRC-SF-RADIO-ACT,AUTH-JP-LEG,Source.authority_refs,ai_context_inference,medium,active
DREL-EE9F85ED5A80F526,traces_to,SRC-SF-RADIO-ACT,AUTH-JP-MIC,Source.authority_refs,ai_context_inference,medium,active
DREL-F68459C976947F62,validated_by,NEED_SF-0001,VAL_SF-0001,Need.validation_case_refs,ai_context_inference,medium,active
DREL-290207F62A47BFA5,validated_by,NEED_SF-0002,VAL_SF-0002,Need.validation_case_refs,ai_context_inference,medium,active
DREL-3F2BC41C8381E387,validated_by,NEED_SF-0003,VAL_SF-0003,Need.validation_case_refs,ai_context_inference,medium,active
DREL-BB0CB4EA49B06013,validated_by,NEED_SF-0004,VAL_SF-0004,Need.validation_case_refs,user_explicit,high,active
DREL-5DB1C8643A6A1332,validated_by,NEED_SF-0005,VAL_SF-0005,Need.validation_case_refs,ai_context_inference,low,active
DREL-21BFBCFBCBC6FE43,validates,VAL_SF-0001,NEED_SF-0001,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-3740BFC6A35F3081,validates,VAL_SF-0002,NEED_SF-0002,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-F3F232498C071E9A,validates,VAL_SF-0003,NEED_SF-0003,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-BCBCE896468FC36E,validates,VAL_SF-0004,NEED_SF-0004,ValidationCase.target_need_refs,user_explicit,high,active
DREL-42DDB8E0875838B3,validates,VAL_SF-0005,NEED_SF-0005,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-C98A99492F3A9578,verifies,VER_SF-0001,REQ_SF-0001,VerificationCase.target_requirement_refs,ai_context_inference,medium,active
DREL-B9BB396F672B75DB,verifies,VER_SF-0002,REQ_SF-0002,VerificationCase.target_requirement_refs,ai_context_inference,low,active
DREL-47A6D358757EBF34,verifies,VER_SF-0003,REQ_SF-0003,VerificationCase.target_requirement_refs,ai_context_inference,low,active
DREL-2052BD4520C5CB30,verifies,VER_SF-0004,REQ_SF-0004,VerificationCase.target_requirement_refs,user_explicit,high,active
DREL-F3EFBD1A57F697D9,verifies,VER_SF-0005,REQ_SF-0005,VerificationCase.target_requirement_refs,user_explicit,high,active
DREL-D1208EC323183B1F,verifies,VER_SF-0006,REQ_SF-0006,VerificationCase.target_requirement_refs,ai_context_inference,low,active
DREL-AC6C7ED742231E6F,verifies,VER_SF-0007,REQ_SF-0007,VerificationCase.target_requirement_refs,external_candidate,low,active
